form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
6-K,2026-08-19,2026-08-19,,0001654954-26-007742,https://www.sec.gov/Archives/edgar/data/901832/000165495426007742/a3225r.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426007742/
6-K,2026-08-17,2026-08-17,,0001654954-26-007681,https://www.sec.gov/Archives/edgar/data/901832/000165495426007681/a8443q.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426007681/
6-K,2026-08-17,2026-08-17,,0001654954-26-007679,https://www.sec.gov/Archives/edgar/data/901832/000165495426007679/a8439q.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426007679/
6-K,2026-08-17,2026-08-17,,0001654954-26-007677,https://www.sec.gov/Archives/edgar/data/901832/000165495426007677/a8441q.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426007677/
6-K,2026-08-03,2026-08-03,,0001654954-26-007169,https://www.sec.gov/Archives/edgar/data/901832/000165495426007169/a8757o.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426007169/
6-K,2026-08-03,2026-08-03,,0001654954-26-007166,https://www.sec.gov/Archives/edgar/data/901832/000165495426007166/a8728o.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426007166/
6-K,2026-07-31,2026-07-31,,0001654954-26-007050,https://www.sec.gov/Archives/edgar/data/901832/000165495426007050/a7288o.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426007050/
6-K,2026-07-27,2026-06-30,,0001104659-26-086846,https://www.sec.gov/Archives/edgar/data/901832/000110465926086846/azn-20260630x6k.htm,https://www.sec.gov/Archives/edgar/data/901832/000110465926086846/
6-K,2026-07-27,2026-07-27,,0001654954-26-006897,https://www.sec.gov/Archives/edgar/data/901832/000165495426006897/a8707n.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426006897/
6-K,2026-07-27,2026-07-27,,0001654954-26-006895,https://www.sec.gov/Archives/edgar/data/901832/000165495426006895/a9459n.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426006895/
6-K,2026-07-23,2026-07-23,,0001654954-26-006803,https://www.sec.gov/Archives/edgar/data/901832/000165495426006803/a5622n.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426006803/
6-K,2026-07-14,2026-07-14,,0001654954-26-006637,https://www.sec.gov/Archives/edgar/data/901832/000165495426006637/a2449m.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426006637/
6-K,2026-07-09,2026-07-09,,0001654954-26-006554,https://www.sec.gov/Archives/edgar/data/901832/000165495426006554/a6054l.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426006554/
6-K,2026-07-01,2026-07-01,,0001654954-26-006430,https://www.sec.gov/Archives/edgar/data/901832/000165495426006430/a6348k.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426006430/
6-K,2026-07-01,2026-07-01,,0001654954-26-006427,https://www.sec.gov/Archives/edgar/data/901832/000165495426006427/a6365k.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426006427/
6-K,2026-06-29,2026-06-29,,0001654954-26-006251,https://www.sec.gov/Archives/edgar/data/901832/000165495426006251/a1370k.htm,https://www.sec.gov/Archives/edgar/data/901832/000165495426006251/
