form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
10-Q,2026-08-05,2026-06-30,,0000059478-26-000081,https://www.sec.gov/Archives/edgar/data/59478/000005947826000081/lly-20260630.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947826000081/
8-K,2026-08-05,2026-08-05,"2.02,9.01",0000059478-26-000077,https://www.sec.gov/Archives/edgar/data/59478/000005947826000077/lly-20260805.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947826000077/
8-K,2026-05-20,2026-05-20,"8.01,9.01",0001193125-26-232707,https://www.sec.gov/Archives/edgar/data/59478/000119312526232707/d148580d8k.htm,https://www.sec.gov/Archives/edgar/data/59478/000119312526232707/
8-K,2026-05-07,2026-05-04,5.07,0000059478-26-000048,https://www.sec.gov/Archives/edgar/data/59478/000005947826000048/lly-20260504.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947826000048/
10-Q,2026-04-30,2026-03-31,,0000059478-26-000045,https://www.sec.gov/Archives/edgar/data/59478/000005947826000045/lly-20260331.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947826000045/
8-K,2026-04-30,2026-04-30,"2.02,9.01",0000059478-26-000043,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/lly-20260430.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/
10-K,2026-02-12,2025-12-31,,0000059478-26-000013,https://www.sec.gov/Archives/edgar/data/59478/000005947826000013/lly-20251231.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947826000013/
8-K,2026-02-04,2026-02-04,"2.02,9.01",0000059478-26-000008,https://www.sec.gov/Archives/edgar/data/59478/000005947826000008/lly-20260204.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947826000008/
8-K,2025-11-21,2025-11-18,5.02,0000059478-25-000271,https://www.sec.gov/Archives/edgar/data/59478/000005947825000271/lly-20251118.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000271/
10-Q,2025-10-30,2025-09-30,,0000059478-25-000254,https://www.sec.gov/Archives/edgar/data/59478/000005947825000254/lly-20250930.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000254/
8-K,2025-10-30,2025-10-30,"2.02,9.01",0000059478-25-000251,https://www.sec.gov/Archives/edgar/data/59478/000005947825000251/lly-20251030.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000251/
8-K,2025-08-20,2025-08-18,"8.01,9.01",0001193125-25-184093,https://www.sec.gov/Archives/edgar/data/59478/000119312525184093/d929636d8k.htm,https://www.sec.gov/Archives/edgar/data/59478/000119312525184093/
10-Q,2025-08-07,2025-06-30,,0000059478-25-000204,https://www.sec.gov/Archives/edgar/data/59478/000005947825000204/lly-20250630.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000204/
8-K,2025-08-07,2025-08-07,"2.02,9.01",0000059478-25-000202,https://www.sec.gov/Archives/edgar/data/59478/000005947825000202/lly-20250807.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000202/
8-K,2025-05-08,2025-05-05,5.07,0000059478-25-000138,https://www.sec.gov/Archives/edgar/data/59478/000005947825000138/lly-20250505.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000138/
10-Q,2025-05-01,2025-03-31,,0000059478-25-000132,https://www.sec.gov/Archives/edgar/data/59478/000005947825000132/lly-20250331.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000132/
8-K,2025-05-01,2025-05-01,"2.02,9.01",0000059478-25-000129,https://www.sec.gov/Archives/edgar/data/59478/000005947825000129/lly-20250501.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000129/
10-K,2025-02-19,2024-12-31,,0000059478-25-000067,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/lly-20241231.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/
8-K,2025-02-12,2025-02-10,"8.01,9.01",0001193125-25-025057,https://www.sec.gov/Archives/edgar/data/59478/000119312525025057/d868986d8k.htm,https://www.sec.gov/Archives/edgar/data/59478/000119312525025057/
8-K,2025-02-06,2025-02-06,"2.02,9.01",0000059478-25-000037,https://www.sec.gov/Archives/edgar/data/59478/000005947825000037/lly-20250206.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000037/
8-K,2025-01-14,2025-01-14,"2.02,9.01",0000059478-25-000005,https://www.sec.gov/Archives/edgar/data/59478/000005947825000005/lly-20250114.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000005/
8-K,2024-11-19,2024-11-19,"5.02,9.01",0000059478-24-000258,https://www.sec.gov/Archives/edgar/data/59478/000005947824000258/lly-20241119.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000258/
10-Q,2024-10-30,2024-09-30,,0000059478-24-000245,https://www.sec.gov/Archives/edgar/data/59478/000005947824000245/lly-20240930.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000245/
8-K,2024-10-30,2024-10-30,"2.02,9.01",0000059478-24-000242,https://www.sec.gov/Archives/edgar/data/59478/000005947824000242/lly-20241030.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000242/
8-K,2024-09-09,2024-09-05,"5.02,9.01",0000059478-24-000213,https://www.sec.gov/Archives/edgar/data/59478/000005947824000213/lly-20240905.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000213/
8-K,2024-08-16,2024-08-13,"5.02,9.01",0000059478-24-000196,https://www.sec.gov/Archives/edgar/data/59478/000005947824000196/lly-20240813.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000196/
