form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
6-K,2026-08-18,2026-08-18,,0001654954-26-007718,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007718/a1253r.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007718/
6-K,2026-08-13,2026-08-13,,0001654954-26-007560,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007560/a6279q.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007560/
6-K,2026-08-11,2026-08-11,,0001654954-26-007453,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007453/a2463q.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007453/
6-K,2026-08-03,2026-08-03,,0001654954-26-007176,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007176/a9931o.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007176/
6-K,2026-07-30,2026-07-30,,0001654954-26-007005,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007005/a5890o.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426007005/
6-K,2026-07-28,2026-07-28,,0001654954-26-006954,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006954/a1993o.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006954/
6-K,2026-07-28,2026-07-28,,0001654954-26-006951,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006951/a1904o.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006951/
6-K,2026-07-28,2026-07-28,,0001654954-26-006949,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006949/a1493o.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006949/
6-K,2026-07-24,2026-07-24,,0001654954-26-006862,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006862/a8178n.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006862/
6-K,2026-07-24,2026-07-24,,0001654954-26-006854,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006854/a8274n.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006854/
6-K,2026-07-22,2026-07-22,,0001654954-26-006789,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006789/a4747n.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006789/
6-K,2026-07-20,2026-07-20,,0001654954-26-006735,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006735/a9780m.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006735/
6-K,2026-07-17,2026-07-17,,0001654954-26-006706,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006706/a8186m.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006706/
6-K,2026-07-17,2026-07-17,,0001654954-26-006705,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006705/a8188m.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006705/
6-K,2026-07-16,2026-07-16,,0001654954-26-006691,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006691/a6856m.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006691/
6-K,2026-07-15,2026-07-15,,0001654954-26-006663,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006663/a5060m.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006663/
6-K,2026-07-14,2026-07-14,,0001654954-26-006640,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006640/a3283m.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006640/
6-K,2026-07-13,2026-07-13,,0001654954-26-006623,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006623/a1372m.htm,https://www.sec.gov/Archives/edgar/data/1131399/000165495426006623/
