form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
10-Q,2026-08-07,2026-06-30,,0000310158-26-000212,https://www.sec.gov/Archives/edgar/data/310158/000031015826000212/mrk-20260630.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015826000212/
8-K,2026-08-04,2026-08-04,"2.02,9.01",0001104659-26-090045,https://www.sec.gov/Archives/edgar/data/310158/000110465926090045/tm2621496d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465926090045/
8-K,2026-05-28,2026-05-26,5.07,0001104659-26-067509,https://www.sec.gov/Archives/edgar/data/310158/000110465926067509/tm2615833d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465926067509/
8-K,2026-05-22,2026-05-22,"8.01,9.01",0001628280-26-037738,https://www.sec.gov/Archives/edgar/data/310158/000162828026037738/mrk-20260522.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828026037738/
424B5,2026-05-20,,,0001628280-26-036914,https://www.sec.gov/Archives/edgar/data/310158/000162828026036914/merck-prospectussupplement.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828026036914/
424B5,2026-05-18,,,0001628280-26-035810,https://www.sec.gov/Archives/edgar/data/310158/000162828026035810/merck-preliminaryprospectu.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828026035810/
10-Q,2026-05-04,2026-03-31,,0001628280-26-029802,https://www.sec.gov/Archives/edgar/data/310158/000162828026029802/mrk-20260331.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828026029802/
8-K,2026-04-30,2026-04-30,"2.02,9.01",0001104659-26-052081,https://www.sec.gov/Archives/edgar/data/310158/000110465926052081/tm2612241d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465926052081/
10-K,2026-02-24,2025-12-31,,0000310158-26-000063,https://www.sec.gov/Archives/edgar/data/310158/000031015826000063/mrk-20251231.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015826000063/
8-K,2026-02-03,2026-02-03,"2.02,9.01",0001104659-26-009495,https://www.sec.gov/Archives/edgar/data/310158/000110465926009495/tm264564d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465926009495/
8-K,2025-12-04,2025-12-04,"8.01,9.01",0001628280-25-055388,https://www.sec.gov/Archives/edgar/data/310158/000162828025055388/mrk-20251204.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828025055388/
424B5,2025-12-03,,,0001628280-25-055041,https://www.sec.gov/Archives/edgar/data/310158/000162828025055041/merck-finalprospectussuppl.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828025055041/
424B5,2025-12-01,,,0001628280-25-054305,https://www.sec.gov/Archives/edgar/data/310158/000162828025054305/merck-preliminaryprospectu.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828025054305/
10-Q,2025-11-05,2025-09-30,,0000310158-25-000059,https://www.sec.gov/Archives/edgar/data/310158/000031015825000059/mrk-20250930.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015825000059/
8-K,2025-10-30,2025-10-30,"2.02,9.01",0001104659-25-103974,https://www.sec.gov/Archives/edgar/data/310158/000110465925103974/tm2529620d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465925103974/
8-K,2025-09-09,2025-09-09,"8.01,9.01",0000310158-25-000047,https://www.sec.gov/Archives/edgar/data/310158/000031015825000047/mrk-20250909.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015825000047/
424B5,2025-09-04,,,0000310158-25-000041,https://www.sec.gov/Archives/edgar/data/310158/000031015825000041/merckco-424bfinal.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015825000041/
424B5,2025-09-02,,,0000310158-25-000027,https://www.sec.gov/Archives/edgar/data/310158/000031015825000027/merckco-424bprelim.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015825000027/
10-Q,2025-08-05,2025-06-30,,0000310158-25-000014,https://www.sec.gov/Archives/edgar/data/310158/000031015825000014/mrk-20250630.htm,https://www.sec.gov/Archives/edgar/data/310158/000031015825000014/
8-K,2025-07-29,2025-07-25,"2.02,2.05,9.01",0001104659-25-071380,https://www.sec.gov/Archives/edgar/data/310158/000110465925071380/tm2521736d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465925071380/
8-K,2025-05-29,2025-05-27,5.07,0001104659-25-054131,https://www.sec.gov/Archives/edgar/data/310158/000110465925054131/tm2516491d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465925054131/
10-Q,2025-05-02,2025-03-31,,0001628280-25-021834,https://www.sec.gov/Archives/edgar/data/310158/000162828025021834/mrk-20250331.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828025021834/
8-K,2025-04-24,2025-04-24,"2.02,9.01",0001104659-25-038301,https://www.sec.gov/Archives/edgar/data/310158/000110465925038301/tm2512885d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465925038301/
10-K,2025-02-25,2024-12-31,,0001628280-25-007732,https://www.sec.gov/Archives/edgar/data/310158/000162828025007732/mrk-20241231.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828025007732/
8-K,2025-02-04,2025-02-04,"2.02,9.01",0001104659-25-008863,https://www.sec.gov/Archives/edgar/data/310158/000110465925008863/tm255059d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465925008863/
8-K,2024-11-22,2024-11-19,"5.02,5.03,9.01",0001104659-24-122027,https://www.sec.gov/Archives/edgar/data/310158/000110465924122027/tm2429161d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465924122027/
10-Q,2024-11-06,2024-09-30,,0001628280-24-045689,https://www.sec.gov/Archives/edgar/data/310158/000162828024045689/mrk-20240930.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024045689/
8-K,2024-10-31,2024-10-31,"2.02,9.01",0001104659-24-112841,https://www.sec.gov/Archives/edgar/data/310158/000110465924112841/tm2426878d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465924112841/
10-Q,2024-08-05,2024-06-30,,0001628280-24-034715,https://www.sec.gov/Archives/edgar/data/310158/000162828024034715/mrk-20240630.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024034715/
8-K,2024-07-30,2024-07-30,"2.02,9.01",0001104659-24-083722,https://www.sec.gov/Archives/edgar/data/310158/000110465924083722/tm2420272d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465924083722/
8-K,2024-05-30,2024-05-28,"5.07,8.01,9.01",0001628280-24-025800,https://www.sec.gov/Archives/edgar/data/310158/000162828024025800/mrk-20240528.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024025800/
424B5,2024-05-20,,,0001628280-24-024209,https://www.sec.gov/Archives/edgar/data/310158/000162828024024209/merckco-424b5final.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024024209/
424B5,2024-05-15,,,0001628280-24-023547,https://www.sec.gov/Archives/edgar/data/310158/000162828024023547/merckco-424bprelim.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024023547/
10-Q,2024-05-03,2024-03-31,,0001628280-24-020283,https://www.sec.gov/Archives/edgar/data/310158/000162828024020283/mrk-20240331.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024020283/
8-K,2024-04-25,2024-04-25,"2.02,9.01",0001104659-24-051517,https://www.sec.gov/Archives/edgar/data/310158/000110465924051517/tm2412490d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465924051517/
10-K,2024-02-26,2023-12-31,,0001628280-24-006850,https://www.sec.gov/Archives/edgar/data/310158/000162828024006850/mrk-20231231.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828024006850/
8-K,2024-02-20,2024-02-15,5.02,0001104659-24-025524,https://www.sec.gov/Archives/edgar/data/310158/000110465924025524/tm246758d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465924025524/
8-K,2024-02-01,2024-01-29,"2.02,2.05,9.01",0001104659-24-009109,https://www.sec.gov/Archives/edgar/data/310158/000110465924009109/tm244517d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465924009109/
8-K,2023-11-28,2023-11-21,5.02,0001104659-23-121671,https://www.sec.gov/Archives/edgar/data/310158/000110465923121671/tm2331303d1_8k.htm,https://www.sec.gov/Archives/edgar/data/310158/000110465923121671/
10-Q,2023-11-03,2023-09-30,,0001628280-23-036717,https://www.sec.gov/Archives/edgar/data/310158/000162828023036717/mrk-20230930.htm,https://www.sec.gov/Archives/edgar/data/310158/000162828023036717/
