form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
6-K,2026-07-21,2026-06-30,,0001114448-26-000012,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000012/nvs-20260630.htm,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000012/
6-K,2026-06-11,2026-06-11,,0001171843-26-004052,https://www.sec.gov/Archives/edgar/data/1114448/000117184326004052/f6k_061126.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184326004052/
6-K,2026-04-28,2026-03-31,,0001114448-26-000010,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000010/a260428-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000010/
6-K,2026-03-18,2026-03-18,,0001104659-26-031037,https://www.sec.gov/Archives/edgar/data/1114448/000110465926031037/tm268725d5_6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465926031037/
424B5,2026-03-17,,,0001104659-26-029551,https://www.sec.gov/Archives/edgar/data/1114448/000110465926029551/tm268725-2_424b5.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465926029551/
424B5,2026-03-16,,,0001104659-26-028048,https://www.sec.gov/Archives/edgar/data/1114448/000110465926028048/tm268725-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465926028048/
6-K,2026-02-04,2025-12-31,,0001114448-26-000008,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000008/a260204rnfmar-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000008/
6-K,2026-02-04,2025-12-31,,0001114448-26-000007,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000007/a260204-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000007/
20-F,2026-02-04,2025-12-31,,0001114448-26-000004,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000004/nvs-20251231.htm,https://www.sec.gov/Archives/edgar/data/1114448/000111444826000004/
6-K,2025-11-25,2025-11-24,,0001171843-25-007547,https://www.sec.gov/Archives/edgar/data/1114448/000117184325007547/f6k_112425.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325007547/
6-K,2025-11-20,2025-11-20,,0001171843-25-007445,https://www.sec.gov/Archives/edgar/data/1114448/000117184325007445/f6k_112025.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325007445/
6-K,2025-11-05,2025-11-05,,0001104659-25-107058,https://www.sec.gov/Archives/edgar/data/1114448/000110465925107058/tm2529850d5_6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465925107058/
424B5,2025-11-04,,,0001104659-25-106338,https://www.sec.gov/Archives/edgar/data/1114448/000110465925106338/tm2529850-2_424b5.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465925106338/
424B5,2025-11-03,,,0001104659-25-105278,https://www.sec.gov/Archives/edgar/data/1114448/000110465925105278/tm2529850-1_424b5.htm,https://www.sec.gov/Archives/edgar/data/1114448/000110465925105278/
6-K,2025-10-28,2025-09-30,,0001114448-25-000003,https://www.sec.gov/Archives/edgar/data/1114448/000111444825000003/a251028-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000111444825000003/
6-K,2025-10-27,2025-10-27,,0001171843-25-006660,https://www.sec.gov/Archives/edgar/data/1114448/000117184325006660/f6k_102625.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325006660/
6-K,2025-09-30,2025-09-30,,0001171843-25-006196,https://www.sec.gov/Archives/edgar/data/1114448/000117184325006196/f6k_093025.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325006196/
6-K,2025-08-11,2025-08-11,,0001171843-25-005290,https://www.sec.gov/Archives/edgar/data/1114448/000117184325005290/f6k_081125.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325005290/
6-K,2025-07-17,2025-07-17,,0001171843-25-004531,https://www.sec.gov/Archives/edgar/data/1114448/000117184325004531/f6k_071725.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325004531/
6-K,2025-07-17,2025-06-30,,0001370368-25-000012,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000012/nvs-20250630.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000012/
6-K,2025-06-02,2025-04-03,,0001171843-25-003556,https://www.sec.gov/Archives/edgar/data/1114448/000117184325003556/f6k_060225.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325003556/
6-K,2025-04-29,2025-03-31,,0001370368-25-000010,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000010/a250429-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000010/
6-K,2025-04-03,2025-04-03,,0001171843-25-001979,https://www.sec.gov/Archives/edgar/data/1114448/000117184325001979/f6k_040325.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325001979/
6-K,2025-03-28,2025-03-28,,0001171843-25-001805,https://www.sec.gov/Archives/edgar/data/1114448/000117184325001805/f6k_032825.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184325001805/
6-K,2025-01-31,2024-12-31,,0001370368-25-000008,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000008/a250131nisar-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000008/
6-K,2025-01-31,2024-12-31,,0001370368-25-000007,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000007/a250131-6k.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000007/
20-F,2025-01-31,2024-12-31,,0001370368-25-000004,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000004/nvs-20241231.htm,https://www.sec.gov/Archives/edgar/data/1114448/000137036825000004/
6-K,2024-12-30,2024-12-30,,0001171843-24-007096,https://www.sec.gov/Archives/edgar/data/1114448/000117184324007096/f6k_123024.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184324007096/
6-K,2024-11-25,2024-11-21,,0001171843-24-006547,https://www.sec.gov/Archives/edgar/data/1114448/000117184324006547/f6k_112124.htm,https://www.sec.gov/Archives/edgar/data/1114448/000117184324006547/
