form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
6-K,2026-08-18,2026-08-17,,0001171843-26-005599,https://www.sec.gov/Archives/edgar/data/353278/000117184326005599/f6k_081726.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326005599/
6-K,2026-08-10,2026-08-10,,0001171843-26-005376,https://www.sec.gov/Archives/edgar/data/353278/000117184326005376/f6k_081026.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326005376/
6-K,2026-08-10,2026-08-06,,0001171843-26-005375,https://www.sec.gov/Archives/edgar/data/353278/000117184326005375/f6k_080626.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326005375/
6-K,2026-08-04,2026-06-30,,0000353278-26-000023,https://www.sec.gov/Archives/edgar/data/353278/000035327826000023/caq22026.htm,https://www.sec.gov/Archives/edgar/data/353278/000035327826000023/
6-K,2026-08-04,2026-08-04,,0001171843-26-005184,https://www.sec.gov/Archives/edgar/data/353278/000117184326005184/f6k_080426.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326005184/
6-K,2026-08-04,2026-08-04,,0001171843-26-005172,https://www.sec.gov/Archives/edgar/data/353278/000117184326005172/f6k_080426.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326005172/
6-K,2026-07-31,2026-07-31,,0001171843-26-005109,https://www.sec.gov/Archives/edgar/data/353278/000117184326005109/f6k_073126.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326005109/
6-K,2026-07-27,2026-07-27,,0001171843-26-004880,https://www.sec.gov/Archives/edgar/data/353278/000117184326004880/f6k_072726.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326004880/
6-K,2026-07-21,2026-07-20,,0001171843-26-004788,https://www.sec.gov/Archives/edgar/data/353278/000117184326004788/f6k_072026.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326004788/
6-K,2026-07-13,2026-07-13,,0001171843-26-004596,https://www.sec.gov/Archives/edgar/data/353278/000117184326004596/f6k_071326.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326004596/
6-K,2026-07-06,2026-07-06,,0001171843-26-004469,https://www.sec.gov/Archives/edgar/data/353278/000117184326004469/f6k_070626.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326004469/
6-K,2026-06-29,2026-06-29,,0001171843-26-004353,https://www.sec.gov/Archives/edgar/data/353278/000117184326004353/f6k_062926.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326004353/
6-K,2026-06-24,2026-06-22,,0001171843-26-004275,https://www.sec.gov/Archives/edgar/data/353278/000117184326004275/f6k_062226.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326004275/
6-K,2026-06-15,2026-06-15,,0001171843-26-004116,https://www.sec.gov/Archives/edgar/data/353278/000117184326004116/f6k_061526.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326004116/
6-K,2026-06-08,2026-06-08,,0001171843-26-003963,https://www.sec.gov/Archives/edgar/data/353278/000117184326003963/f6k_060826.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326003963/
6-K,2026-06-01,2026-06-01,,0001171843-26-003822,https://www.sec.gov/Archives/edgar/data/353278/000117184326003822/f6k_060126.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326003822/
6-K,2026-05-27,2026-05-26,,0001171843-26-003710,https://www.sec.gov/Archives/edgar/data/353278/000117184326003710/f6k_052626.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326003710/
6-K,2026-05-22,2026-05-22,,0001171843-26-003645,https://www.sec.gov/Archives/edgar/data/353278/000117184326003645/f6k_052226.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326003645/
6-K,2026-05-22,2026-05-22,,0001171843-26-003634,https://www.sec.gov/Archives/edgar/data/353278/000117184326003634/f6k_052226.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326003634/
6-K,2026-05-18,2026-05-18,,0001171843-26-003506,https://www.sec.gov/Archives/edgar/data/353278/000117184326003506/f6k_051826.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326003506/
6-K,2026-05-13,2026-05-12,,0001171843-26-003349,https://www.sec.gov/Archives/edgar/data/353278/000117184326003349/f6k_051226.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326003349/
6-K,2026-05-06,2026-03-31,,0000353278-26-000018,https://www.sec.gov/Archives/edgar/data/353278/000035327826000018/caq12026.htm,https://www.sec.gov/Archives/edgar/data/353278/000035327826000018/
6-K,2026-05-05,2026-05-05,,0001171843-26-003010,https://www.sec.gov/Archives/edgar/data/353278/000117184326003010/f6k_050526.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326003010/
6-K,2026-04-27,2026-04-27,,0001171843-26-002719,https://www.sec.gov/Archives/edgar/data/353278/000117184326002719/f6k_042726.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326002719/
6-K,2026-04-20,2026-04-20,,0001171843-26-002554,https://www.sec.gov/Archives/edgar/data/353278/000117184326002554/f6k_042026.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326002554/
6-K,2026-04-20,2026-04-20,,0001171843-26-002549,https://www.sec.gov/Archives/edgar/data/353278/000117184326002549/f6k_042026.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326002549/
6-K,2026-04-13,2026-04-13,,0001171843-26-002394,https://www.sec.gov/Archives/edgar/data/353278/000117184326002394/f6k_041326.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326002394/
6-K,2026-04-07,2026-04-07,,0001171843-26-002279,https://www.sec.gov/Archives/edgar/data/353278/000117184326002279/f6k_040726.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326002279/
6-K,2026-03-30,2026-03-30,,0001171843-26-002013,https://www.sec.gov/Archives/edgar/data/353278/000117184326002013/f6k_033026.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326002013/
6-K,2026-03-27,2026-03-27,,0001171843-26-001967,https://www.sec.gov/Archives/edgar/data/353278/000117184326001967/f6k_032726.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001967/
6-K,2026-03-27,2026-03-27,,0001171843-26-001959,https://www.sec.gov/Archives/edgar/data/353278/000117184326001959/f6k_032626.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001959/
6-K,2026-03-26,2026-03-26,,0001171843-26-001932,https://www.sec.gov/Archives/edgar/data/353278/000117184326001932/f6k_032626.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001932/
6-K,2026-03-23,2026-03-23,,0001171843-26-001842,https://www.sec.gov/Archives/edgar/data/353278/000117184326001842/f6k_032326.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001842/
6-K,2026-03-20,2026-03-19,,0001171843-26-001813,https://www.sec.gov/Archives/edgar/data/353278/000117184326001813/f6k_031926.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001813/
6-K,2026-03-17,2026-03-16,,0001171843-26-001613,https://www.sec.gov/Archives/edgar/data/353278/000117184326001613/f6k_031626.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001613/
6-K,2026-03-09,2026-03-09,,0001171843-26-001400,https://www.sec.gov/Archives/edgar/data/353278/000117184326001400/f6k_030926.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001400/
6-K,2026-03-02,2026-03-02,,0001171843-26-001236,https://www.sec.gov/Archives/edgar/data/353278/000117184326001236/f6k_030226.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001236/
6-K,2026-03-02,2026-03-02,,0001171843-26-001224,https://www.sec.gov/Archives/edgar/data/353278/000117184326001224/f6k_030226.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001224/
6-K,2026-02-23,2026-02-23,,0001171843-26-001001,https://www.sec.gov/Archives/edgar/data/353278/000117184326001001/f6k_022326.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326001001/
6-K,2026-02-23,2026-02-23,,0001171843-26-000996,https://www.sec.gov/Archives/edgar/data/353278/000117184326000996/f6k_022326.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000996/
6-K,2026-02-20,2026-02-20,,0001171843-26-000959,https://www.sec.gov/Archives/edgar/data/353278/000117184326000959/f6k_022026.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000959/
6-K,2026-02-17,2026-02-16,,0001171843-26-000834,https://www.sec.gov/Archives/edgar/data/353278/000117184326000834/f6k_021626.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000834/
6-K,2026-02-11,2026-02-11,,0001171843-26-000749,https://www.sec.gov/Archives/edgar/data/353278/000117184326000749/f6k_021126.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000749/
6-K,2026-02-10,2026-02-10,,0001171843-26-000718,https://www.sec.gov/Archives/edgar/data/353278/000117184326000718/f6k_021026.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000718/
6-K,2026-02-09,2026-02-09,,0001171843-26-000691,https://www.sec.gov/Archives/edgar/data/353278/000117184326000691/f6k_020926.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000691/
6-K,2026-02-05,2026-02-05,,0001171843-26-000652,https://www.sec.gov/Archives/edgar/data/353278/000117184326000652/f6k_020426.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000652/
6-K,2026-02-05,2026-02-04,,0001171843-26-000651,https://www.sec.gov/Archives/edgar/data/353278/000117184326000651/f6k_020426.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000651/
6-K,2026-02-05,2026-02-04,,0001171843-26-000650,https://www.sec.gov/Archives/edgar/data/353278/000117184326000650/f6k_020426.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000650/
20-F,2026-02-04,2025-12-31,,0000353278-26-000012,https://www.sec.gov/Archives/edgar/data/353278/000035327826000012/nvo-20251231.htm,https://www.sec.gov/Archives/edgar/data/353278/000035327826000012/
6-K,2026-02-04,2025-12-31,,0000353278-26-000009,https://www.sec.gov/Archives/edgar/data/353278/000035327826000009/novonordisk_remuneration.htm,https://www.sec.gov/Archives/edgar/data/353278/000035327826000009/
6-K,2026-02-03,2025-12-31,,0000353278-26-000006,https://www.sec.gov/Archives/edgar/data/353278/000035327826000006/caq42025.htm,https://www.sec.gov/Archives/edgar/data/353278/000035327826000006/
6-K,2026-02-03,2026-02-03,,0001171843-26-000596,https://www.sec.gov/Archives/edgar/data/353278/000117184326000596/f6k_020326.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000596/
6-K,2026-02-02,2026-02-02,,0001171843-26-000557,https://www.sec.gov/Archives/edgar/data/353278/000117184326000557/f6k_020226.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000557/
6-K,2026-02-02,2026-01-31,,0001171843-26-000549,https://www.sec.gov/Archives/edgar/data/353278/000117184326000549/f6k_020226.htm,https://www.sec.gov/Archives/edgar/data/353278/000117184326000549/
