form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
8-K,2026-07-31,2026-07-31,"7.01,9.01",0001104659-26-089008,https://www.sec.gov/Archives/edgar/data/1821825/000110465926089008/tm2621744d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465926089008/
10-Q,2026-07-31,2026-06-30,,0001628280-26-051230,https://www.sec.gov/Archives/edgar/data/1821825/000162828026051230/ogn-20260630.htm,https://www.sec.gov/Archives/edgar/data/1821825/000162828026051230/
8-K,2026-07-23,2026-07-23,5.07,0001193125-26-314587,https://www.sec.gov/Archives/edgar/data/1821825/000119312526314587/d128953d8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000119312526314587/
8-K,2026-07-17,2026-07-17,8.01,0001193125-26-307767,https://www.sec.gov/Archives/edgar/data/1821825/000119312526307767/d88294d8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000119312526307767/
8-K,2026-06-11,2026-06-09,"5.02,5.07,9.01",0001104659-26-072953,https://www.sec.gov/Archives/edgar/data/1821825/000110465926072953/tm2617690d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465926072953/
10-Q,2026-05-04,2026-03-31,,0001628280-26-029532,https://www.sec.gov/Archives/edgar/data/1821825/000162828026029532/ogn-20260331.htm,https://www.sec.gov/Archives/edgar/data/1821825/000162828026029532/
8-K,2026-04-30,2026-04-30,"2.02,9.01",0001104659-26-052165,https://www.sec.gov/Archives/edgar/data/1821825/000110465926052165/tm2613165d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465926052165/
8-K,2026-04-27,2026-04-26,"1.01,5.02,7.01,9.01",0001193125-26-178718,https://www.sec.gov/Archives/edgar/data/1821825/000119312526178718/d38652d8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000119312526178718/
10-K,2026-02-24,2025-12-31,,0001628280-26-011125,https://www.sec.gov/Archives/edgar/data/1821825/000162828026011125/ogn-20251231.htm,https://www.sec.gov/Archives/edgar/data/1821825/000162828026011125/
8-K,2026-02-20,2026-02-20,"8.01,9.01",0001104659-26-017870,https://www.sec.gov/Archives/edgar/data/1821825/000110465926017870/tm266880d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465926017870/
8-K,2026-02-12,2026-02-12,"2.02,7.01,9.01",0001104659-26-013888,https://www.sec.gov/Archives/edgar/data/1821825/000110465926013888/tm266144d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465926013888/
10-Q,2025-11-10,2025-09-30,,0001628280-25-050795,https://www.sec.gov/Archives/edgar/data/1821825/000162828025050795/ogn-20250930.htm,https://www.sec.gov/Archives/edgar/data/1821825/000162828025050795/
8-K,2025-11-10,2025-11-10,"2.02,7.01,9.01",0001104659-25-108821,https://www.sec.gov/Archives/edgar/data/1821825/000110465925108821/tm2530711d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925108821/
8-K,2025-11-07,2025-11-03,5.02,0001104659-25-108130,https://www.sec.gov/Archives/edgar/data/1821825/000110465925108130/tm2530470d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925108130/
8-K,2025-10-27,2025-10-26,"5.02,8.01,9.01",0001104659-25-102324,https://www.sec.gov/Archives/edgar/data/1821825/000110465925102324/tm2529513d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925102324/
10-Q,2025-08-06,2025-06-30,,0001821825-25-000066,https://www.sec.gov/Archives/edgar/data/1821825/000182182525000066/ogn-20250630.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182525000066/
8-K,2025-08-05,2025-08-05,"2.02,7.01,9.01",0001104659-25-073929,https://www.sec.gov/Archives/edgar/data/1821825/000110465925073929/tm2522571d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925073929/
8-K,2025-06-12,2025-06-10,"5.02,5.07,9.01",0001104659-25-058900,https://www.sec.gov/Archives/edgar/data/1821825/000110465925058900/tm2517792d2_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925058900/
8-K,2025-05-27,2025-05-27,"8.01,9.01",0001104659-25-052994,https://www.sec.gov/Archives/edgar/data/1821825/000110465925052994/tm2516205d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925052994/
10-Q,2025-05-02,2025-03-31,,0001821825-25-000023,https://www.sec.gov/Archives/edgar/data/1821825/000182182525000023/ogn-20250331.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182525000023/
8-K,2025-05-01,2025-05-01,"2.02,7.01,8.01,9.01",0001104659-25-043023,https://www.sec.gov/Archives/edgar/data/1821825/000110465925043023/tm2513730d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925043023/
8-K,2025-04-15,2025-04-15,"5.02,7.01",0001104659-25-035173,https://www.sec.gov/Archives/edgar/data/1821825/000110465925035173/tm2512324d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925035173/
10-K,2025-02-28,2024-12-31,,0001821825-25-000006,https://www.sec.gov/Archives/edgar/data/1821825/000182182525000006/ogn-20241231.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182525000006/
8-K,2025-02-13,2025-02-13,"2.02,7.01,9.01",0001104659-25-012546,https://www.sec.gov/Archives/edgar/data/1821825/000110465925012546/tm256470d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925012546/
8-K,2025-01-21,2025-01-15,5.02,0001104659-25-004711,https://www.sec.gov/Archives/edgar/data/1821825/000110465925004711/tm253756d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465925004711/
8-K,2024-12-23,2024-12-20,8.01,0001104659-24-130976,https://www.sec.gov/Archives/edgar/data/1821825/000110465924130976/tm2431756d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924130976/
8-K,2024-12-06,2024-12-04,5.02,0001104659-24-126309,https://www.sec.gov/Archives/edgar/data/1821825/000110465924126309/tm2430341d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924126309/
8-K,2024-11-05,2024-11-05,"7.01,9.01",0001104659-24-114101,https://www.sec.gov/Archives/edgar/data/1821825/000110465924114101/tm2427489d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924114101/
10-Q,2024-11-01,2024-09-30,,0001821825-24-000108,https://www.sec.gov/Archives/edgar/data/1821825/000182182524000108/ogn-20240930.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182524000108/
8-K,2024-10-31,2024-10-31,"2.02,7.01,9.01",0001104659-24-112866,https://www.sec.gov/Archives/edgar/data/1821825/000110465924112866/tm2427187d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924112866/
8-K,2024-09-23,2024-09-17,"1.01,9.01",0001104659-24-102053,https://www.sec.gov/Archives/edgar/data/1821825/000110465924102053/tm2424316d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924102053/
10-Q,2024-08-07,2024-06-30,,0001821825-24-000083,https://www.sec.gov/Archives/edgar/data/1821825/000182182524000083/ogn-20240630.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182524000083/
8-K,2024-08-06,2024-08-06,"2.02,7.01,9.01",0001104659-24-086103,https://www.sec.gov/Archives/edgar/data/1821825/000110465924086103/tm2420930d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924086103/
8-K,2024-06-06,2024-06-04,5.07,0001104659-24-068876,https://www.sec.gov/Archives/edgar/data/1821825/000110465924068876/tm2416592d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924068876/
8-K,2024-05-17,2024-05-17,"1.01,2.03,9.01",0001104659-24-063008,https://www.sec.gov/Archives/edgar/data/1821825/000110465924063008/tm2414822d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924063008/
10-Q,2024-05-03,2024-03-31,,0001821825-24-000056,https://www.sec.gov/Archives/edgar/data/1821825/000182182524000056/ogn-20240331.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182524000056/
8-K,2024-05-02,2024-05-02,"2.02,7.01,9.01",0001104659-24-056017,https://www.sec.gov/Archives/edgar/data/1821825/000110465924056017/tm2413293d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924056017/
10-K,2024-02-26,2023-12-31,,0001628280-24-006733,https://www.sec.gov/Archives/edgar/data/1821825/000162828024006733/ogn-20231231.htm,https://www.sec.gov/Archives/edgar/data/1821825/000162828024006733/
8-K,2024-02-15,2024-02-15,"2.02,7.01,9.01",0001104659-24-024358,https://www.sec.gov/Archives/edgar/data/1821825/000110465924024358/tm246328d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465924024358/
8-K,2023-12-05,2023-12-01,5.02,0001104659-23-123628,https://www.sec.gov/Archives/edgar/data/1821825/000110465923123628/tm2332211d1_8k.htm,https://www.sec.gov/Archives/edgar/data/1821825/000110465923123628/
10-Q,2023-11-03,2023-09-30,,0001821825-23-000013,https://www.sec.gov/Archives/edgar/data/1821825/000182182523000013/ogn-20230930.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182523000013/
