form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
10-Q,2026-08-04,2026-06-30,,0001628280-26-052635,https://www.sec.gov/Archives/edgar/data/1396814/000162828026052635/pcrx-20260630.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026052635/
8-K,2026-08-04,2026-08-04,"2.02,9.01",0001628280-26-052527,https://www.sec.gov/Archives/edgar/data/1396814/000162828026052527/pcrx-20260804.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026052527/
8-K,2026-06-30,2026-06-28,"1.01,7.01,9.01",0001628280-26-046136,https://www.sec.gov/Archives/edgar/data/1396814/000162828026046136/pcrx-20260628.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026046136/
8-K,2026-06-11,2026-06-09,"5.02,5.07,8.01,9.01",0001628280-26-042525,https://www.sec.gov/Archives/edgar/data/1396814/000162828026042525/pcrx-20260609.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026042525/
10-Q,2026-04-30,2026-03-31,,0001628280-26-028871,https://www.sec.gov/Archives/edgar/data/1396814/000162828026028871/pcrx-20260331.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026028871/
8-K,2026-04-30,2026-04-30,"2.02,9.01",0001628280-26-028854,https://www.sec.gov/Archives/edgar/data/1396814/000162828026028854/pcrx-20260430.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026028854/
10-K,2026-02-26,2025-12-31,,0001628280-26-012297,https://www.sec.gov/Archives/edgar/data/1396814/000162828026012297/pcrx-20251231.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026012297/
8-K,2026-02-26,2026-02-26,"2.02,9.01",0001628280-26-012238,https://www.sec.gov/Archives/edgar/data/1396814/000162828026012238/pcrx-20260226.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026012238/
8-K,2026-01-28,2026-01-27,"5.02,7.01,9.01",0001628280-26-003717,https://www.sec.gov/Archives/edgar/data/1396814/000162828026003717/pcrx-20260127.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026003717/
8-K,2026-01-08,2026-01-08,"2.02,9.01",0001628280-26-001335,https://www.sec.gov/Archives/edgar/data/1396814/000162828026001335/pcrx-20260108.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828026001335/
