form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
10-Q,2026-08-04,2026-06-28,,0000078003-26-000095,https://www.sec.gov/Archives/edgar/data/78003/000007800326000095/pfe-20260628.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000095/
8-K,2026-08-04,2026-08-04,"2.02,9.01",0000078003-26-000094,https://www.sec.gov/Archives/edgar/data/78003/000007800326000094/pfe-20260804.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000094/
8-K,2026-06-18,2026-06-18,7.01,0000078003-26-000087,https://www.sec.gov/Archives/edgar/data/78003/000007800326000087/pfe-20260618.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000087/
8-K,2026-06-18,2026-06-18,"5.02,9.01",0000078003-26-000085,https://www.sec.gov/Archives/edgar/data/78003/000007800326000085/pfe-20260618.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000085/
10-Q,2026-05-05,2026-03-29,,0000078003-26-000054,https://www.sec.gov/Archives/edgar/data/78003/000007800326000054/pfe-20260329.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000054/
8-K,2026-05-05,2026-05-05,"2.02,9.01",0000078003-26-000053,https://www.sec.gov/Archives/edgar/data/78003/000007800326000053/pfe-20260505.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000053/
8-K,2026-04-27,2026-04-23,5.07,0000078003-26-000044,https://www.sec.gov/Archives/edgar/data/78003/000007800326000044/pfe-20260423.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000044/
10-K,2026-02-26,2025-12-31,,0000078003-26-000026,https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/pfe-20251231.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000026/
8-K,2026-02-03,2026-02-03,"2.02,9.01",0000078003-26-000005,https://www.sec.gov/Archives/edgar/data/78003/000007800326000005/pfe-20260203.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800326000005/
8-K,2025-12-16,2025-12-16,"7.01,9.01",0000078003-25-000167,https://www.sec.gov/Archives/edgar/data/78003/000007800325000167/pfe-20251216.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000167/
8-K,2025-11-21,2025-11-18,"8.01,9.01",0001193125-25-291406,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/d80089d8k.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312525291406/
424B5,2025-11-20,,,0001193125-25-289779,https://www.sec.gov/Archives/edgar/data/78003/000119312525289779/d95338d424b5.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312525289779/
8-K,2025-11-13,2025-11-13,8.01,0000078003-25-000159,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/pfe-20251113.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000159/
10-Q,2025-11-04,2025-09-28,,0000078003-25-000150,https://www.sec.gov/Archives/edgar/data/78003/000007800325000150/pfe-20250928.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000150/
8-K,2025-11-04,2025-11-04,"2.02,9.01",0000078003-25-000149,https://www.sec.gov/Archives/edgar/data/78003/000007800325000149/pfe-20251104.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000149/
10-Q,2025-08-05,2025-06-29,,0000078003-25-000138,https://www.sec.gov/Archives/edgar/data/78003/000007800325000138/pfe-20250629.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000138/
8-K,2025-08-05,2025-08-05,"2.02,9.01",0000078003-25-000136,https://www.sec.gov/Archives/edgar/data/78003/000007800325000136/pfe-20250805.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000136/
8-K,2025-05-19,2025-05-14,"8.01,9.01",0001193125-25-122480,https://www.sec.gov/Archives/edgar/data/78003/000119312525122480/d60311d8k.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312525122480/
424B5,2025-05-15,,,0001193125-25-120844,https://www.sec.gov/Archives/edgar/data/78003/000119312525120844/d910320d424b5.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312525120844/
10-Q,2025-05-05,2025-03-30,,0000078003-25-000114,https://www.sec.gov/Archives/edgar/data/78003/000007800325000114/pfe-20250330.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000114/
8-K,2025-04-29,2025-04-29,"2.02,2.05,9.01",0000078003-25-000111,https://www.sec.gov/Archives/edgar/data/78003/000007800325000111/pfe-20250429.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000111/
8-K,2025-04-28,2025-04-24,5.07,0000078003-25-000109,https://www.sec.gov/Archives/edgar/data/78003/000007800325000109/pfe-20250424.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000109/
10-K,2025-02-27,2024-12-31,,0000078003-25-000054,https://www.sec.gov/Archives/edgar/data/78003/000007800325000054/pfe-20241231.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000054/
8-K,2025-02-04,2025-02-04,"2.02,9.01",0000078003-25-000017,https://www.sec.gov/Archives/edgar/data/78003/000007800325000017/pfe-20250204.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800325000017/
8-K,2024-12-17,2024-12-17,"7.01,9.01",0000078003-24-000195,https://www.sec.gov/Archives/edgar/data/78003/000007800324000195/pfe-20241217.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000195/
10-Q,2024-11-04,2024-09-29,,0000078003-24-000191,https://www.sec.gov/Archives/edgar/data/78003/000007800324000191/pfe-20240929.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000191/
8-K,2024-10-29,2024-10-29,"2.02,9.01",0000078003-24-000188,https://www.sec.gov/Archives/edgar/data/78003/000007800324000188/pfe-20241029.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000188/
8-K,2024-10-15,2024-10-10,"5.02,9.01",0000078003-24-000185,https://www.sec.gov/Archives/edgar/data/78003/000007800324000185/pfe-20241010.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000185/
10-Q,2024-08-05,2024-06-30,,0000078003-24-000166,https://www.sec.gov/Archives/edgar/data/78003/000007800324000166/pfe-20240630.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000166/
8-K,2024-07-30,2024-07-30,"2.02,9.01",0000078003-24-000155,https://www.sec.gov/Archives/edgar/data/78003/000007800324000155/pfe-20240730.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000155/
8-K,2024-07-26,2024-07-24,"5.02,8.01,9.01",0000078003-24-000144,https://www.sec.gov/Archives/edgar/data/78003/000007800324000144/pfe-20240724.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000144/
8-K,2024-07-10,2024-07-09,5.02,0000078003-24-000130,https://www.sec.gov/Archives/edgar/data/78003/000007800324000130/pfe-20240709.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000130/
8-K,2024-07-01,2024-06-27,"5.02,9.01",0000078003-24-000127,https://www.sec.gov/Archives/edgar/data/78003/000007800324000127/pfe-20240627.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000127/
8-K,2024-05-22,2024-05-22,2.05,0000078003-24-000113,https://www.sec.gov/Archives/edgar/data/78003/000007800324000113/pfe-20240522.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000113/
10-Q,2024-05-08,2024-03-31,,0000078003-24-000107,https://www.sec.gov/Archives/edgar/data/78003/000007800324000107/pfe-20240331.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000107/
8-K,2024-05-01,2024-05-01,"2.02,9.01",0000078003-24-000103,https://www.sec.gov/Archives/edgar/data/78003/000007800324000103/pfe-20240501.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000103/
8-K,2024-04-29,2024-04-25,5.07,0000078003-24-000101,https://www.sec.gov/Archives/edgar/data/78003/000007800324000101/pfe-20240425.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000101/
10-K,2024-02-22,2023-12-31,,0000078003-24-000039,https://www.sec.gov/Archives/edgar/data/78003/000007800324000039/pfe-20231231.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000039/
8-K,2024-01-30,2024-01-30,"2.02,9.01",0000078003-24-000017,https://www.sec.gov/Archives/edgar/data/78003/000007800324000017/pfe-20240130.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000017/
8-K,2024-01-10,2024-01-10,"8.01,9.01",0000078003-24-000006,https://www.sec.gov/Archives/edgar/data/78003/000007800324000006/pfe-20240110.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800324000006/
8-K,2023-12-14,2023-12-14,"2.02,7.01,9.01",0001193125-23-294930,https://www.sec.gov/Archives/edgar/data/78003/000119312523294930/d553734d8k.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312523294930/
8-K,2023-12-13,2023-12-13,"7.01,9.01",0000078003-23-000120,https://www.sec.gov/Archives/edgar/data/78003/000007800323000120/pfe-20231213.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800323000120/
8-K,2023-12-12,2023-12-07,"5.02,7.01,9.01",0000078003-23-000118,https://www.sec.gov/Archives/edgar/data/78003/000007800323000118/pfe-20231207.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800323000118/
10-Q,2023-11-08,2023-10-01,,0000078003-23-000115,https://www.sec.gov/Archives/edgar/data/78003/000007800323000115/pfe-20231001.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800323000115/
8-K,2023-10-31,2023-10-31,"2.02,9.01",0000078003-23-000111,https://www.sec.gov/Archives/edgar/data/78003/000007800323000111/pfe-20231031.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800323000111/
8-K,2023-10-13,2023-10-13,"2.02,2.05,7.01,9.01",0000078003-23-000099,https://www.sec.gov/Archives/edgar/data/78003/000007800323000099/pfe-20231013.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800323000099/
10-Q,2023-08-09,2023-07-02,,0000078003-23-000088,https://www.sec.gov/Archives/edgar/data/78003/000007800323000088/pfe-20230702.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800323000088/
8-K,2023-08-01,2023-08-01,"2.02,9.01",0000078003-23-000085,https://www.sec.gov/Archives/edgar/data/78003/000007800323000085/pfe-20230801.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800323000085/
8-K,2023-07-27,2023-07-21,5.02,0000078003-23-000081,https://www.sec.gov/Archives/edgar/data/78003/000007800323000081/pfe-20230721.htm,https://www.sec.gov/Archives/edgar/data/78003/000007800323000081/
8-K,2023-05-19,2023-05-16,"8.01,9.01",0001193125-23-149364,https://www.sec.gov/Archives/edgar/data/78003/000119312523149364/d414076d8k.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312523149364/
424B5,2023-05-18,,,0001193125-23-148218,https://www.sec.gov/Archives/edgar/data/78003/000119312523148218/d502458d424b5.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312523148218/
8-K,2023-05-15,2023-05-12,8.01,0001193125-23-144089,https://www.sec.gov/Archives/edgar/data/78003/000119312523144089/d474141d8k.htm,https://www.sec.gov/Archives/edgar/data/78003/000119312523144089/
