form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
10-Q,2026-07-30,2026-06-30,,0000872589-26-000025,https://www.sec.gov/Archives/edgar/data/872589/000087258926000025/regn-20260630.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258926000025/
8-K,2026-07-30,2026-07-30,"2.02,9.01",0000872589-26-000023,https://www.sec.gov/Archives/edgar/data/872589/000087258926000023/regn-20260730.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258926000023/
8-K,2026-07-06,2026-07-06,2.02,0001104659-26-080562,https://www.sec.gov/Archives/edgar/data/872589/000110465926080562/tm2619682d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465926080562/
8-K,2026-06-17,2026-06-12,5.07,0001104659-26-075127,https://www.sec.gov/Archives/edgar/data/872589/000110465926075127/tm2618117d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465926075127/
10-Q,2026-04-29,2026-03-31,,0000872589-26-000016,https://www.sec.gov/Archives/edgar/data/872589/000087258926000016/regn-20260331.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258926000016/
8-K,2026-04-29,2026-04-29,"2.02,9.01",0000872589-26-000014,https://www.sec.gov/Archives/edgar/data/872589/000087258926000014/regn-20260429.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258926000014/
8-K,2026-04-08,2026-04-08,2.02,0001104659-26-040661,https://www.sec.gov/Archives/edgar/data/872589/000110465926040661/tm2611354d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465926040661/
10-K,2026-02-04,2025-12-31,,0000872589-26-000008,https://www.sec.gov/Archives/edgar/data/872589/000087258926000008/regn-20251231.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258926000008/
8-K,2026-01-30,2026-01-30,"2.02,9.01",0000872589-26-000004,https://www.sec.gov/Archives/edgar/data/872589/000087258926000004/regn-20260130.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258926000004/
8-K,2026-01-12,2026-01-12,"2.02,7.01,9.01",0001104659-26-002691,https://www.sec.gov/Archives/edgar/data/872589/000110465926002691/tm262861d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465926002691/
10-Q,2025-10-28,2025-09-30,,0000872589-25-000028,https://www.sec.gov/Archives/edgar/data/872589/000087258925000028/regn-20250930.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258925000028/
8-K,2025-10-28,2025-10-28,"2.02,9.01",0000872589-25-000026,https://www.sec.gov/Archives/edgar/data/872589/000087258925000026/regn-20251028.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258925000026/
8-K,2025-10-06,2025-10-06,2.02,0001104659-25-096921,https://www.sec.gov/Archives/edgar/data/872589/000110465925096921/tm2528010d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465925096921/
10-Q,2025-08-01,2025-06-30,,0000872589-25-000019,https://www.sec.gov/Archives/edgar/data/872589/000087258925000019/regn-20250630.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258925000019/
8-K,2025-08-01,2025-08-01,"2.02,9.01",0000872589-25-000017,https://www.sec.gov/Archives/edgar/data/872589/000087258925000017/regn-20250801.htm,https://www.sec.gov/Archives/edgar/data/872589/000087258925000017/
8-K,2025-06-18,2025-06-13,5.07,0001104659-25-060637,https://www.sec.gov/Archives/edgar/data/872589/000110465925060637/tm2518262d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465925060637/
10-Q,2025-04-29,2025-03-31,,0001804220-25-000022,https://www.sec.gov/Archives/edgar/data/872589/000180422025000022/regn-20250331.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422025000022/
8-K,2025-04-29,2025-04-29,"2.02,9.01",0001804220-25-000020,https://www.sec.gov/Archives/edgar/data/872589/000180422025000020/regn-20250429.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422025000020/
10-K,2025-02-05,2024-12-31,,0001804220-25-000011,https://www.sec.gov/Archives/edgar/data/872589/000180422025000011/regn-20241231.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422025000011/
8-K,2025-02-04,2025-02-04,"2.02,8.01,9.01",0001804220-25-000007,https://www.sec.gov/Archives/edgar/data/872589/000180422025000007/regn-20250204.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422025000007/
8-K,2025-01-13,2025-01-13,"2.02,7.01,9.01",0001104659-25-002826,https://www.sec.gov/Archives/edgar/data/872589/000110465925002826/tm253014d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465925002826/
10-Q,2024-10-31,2024-09-30,,0001804220-24-000040,https://www.sec.gov/Archives/edgar/data/872589/000180422024000040/regn-20240930.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422024000040/
8-K,2024-10-31,2024-10-31,"2.02,9.01",0001804220-24-000038,https://www.sec.gov/Archives/edgar/data/872589/000180422024000038/regn-20241031.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422024000038/
8-K,2024-10-07,2024-10-07,2.02,0001104659-24-106432,https://www.sec.gov/Archives/edgar/data/872589/000110465924106432/tm2419098d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465924106432/
10-Q,2024-08-01,2024-06-30,,0001804220-24-000028,https://www.sec.gov/Archives/edgar/data/872589/000180422024000028/regn-20240630.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422024000028/
8-K,2024-08-01,2024-08-01,"2.02,9.01",0001804220-24-000026,https://www.sec.gov/Archives/edgar/data/872589/000180422024000026/regn-20240801.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422024000026/
8-K,2024-07-08,2024-07-08,2.02,0001104659-24-078172,https://www.sec.gov/Archives/edgar/data/872589/000110465924078172/tm2418837d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465924078172/
8-K,2024-06-20,2024-06-14,5.07,0001104659-24-073372,https://www.sec.gov/Archives/edgar/data/872589/000110465924073372/tm2417559d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465924073372/
10-Q,2024-05-02,2024-03-31,,0001804220-24-000017,https://www.sec.gov/Archives/edgar/data/872589/000180422024000017/regn-20240331.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422024000017/
8-K,2024-05-02,2024-05-02,"2.02,9.01",0001804220-24-000015,https://www.sec.gov/Archives/edgar/data/872589/000180422024000015/regn-20240502.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422024000015/
10-K,2024-02-05,2023-12-31,,0001804220-24-000009,https://www.sec.gov/Archives/edgar/data/872589/000180422024000009/regn-20231231.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422024000009/
8-K,2024-02-02,2024-02-02,"2.02,9.01",0001804220-24-000006,https://www.sec.gov/Archives/edgar/data/872589/000180422024000006/regn-20240202.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422024000006/
8-K,2024-01-31,2024-01-26,5.02,0001104659-24-008807,https://www.sec.gov/Archives/edgar/data/872589/000110465924008807/tm244671d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465924008807/
8-K,2024-01-08,2024-01-08,"2.02,7.01,9.01",0001104659-24-002037,https://www.sec.gov/Archives/edgar/data/872589/000110465924002037/tm242296d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465924002037/
10-Q,2023-11-02,2023-09-30,,0001804220-23-000031,https://www.sec.gov/Archives/edgar/data/872589/000180422023000031/regn-20230930.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422023000031/
8-K,2023-11-02,2023-11-02,"2.02,9.01",0001804220-23-000029,https://www.sec.gov/Archives/edgar/data/872589/000180422023000029/regn-20231102.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422023000029/
8-K,2023-10-05,2023-10-05,2.02,0001104659-23-107161,https://www.sec.gov/Archives/edgar/data/872589/000110465923107161/tm2327767d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465923107161/
8-K,2023-09-08,2023-09-01,5.02,0001104659-23-099345,https://www.sec.gov/Archives/edgar/data/872589/000110465923099345/tm2325712d2_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465923099345/
10-Q,2023-08-03,2023-06-30,,0001804220-23-000023,https://www.sec.gov/Archives/edgar/data/872589/000180422023000023/regn-20230630.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422023000023/
8-K,2023-08-03,2023-08-03,"2.02,9.01",0001804220-23-000021,https://www.sec.gov/Archives/edgar/data/872589/000180422023000021/regn-20230803.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422023000021/
8-K,2023-06-14,2023-06-09,"5.03,5.07,9.01",0001104659-23-071187,https://www.sec.gov/Archives/edgar/data/872589/000110465923071187/tm2318622d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465923071187/
10-Q,2023-05-04,2023-03-31,,0001804220-23-000016,https://www.sec.gov/Archives/edgar/data/872589/000180422023000016/regn-20230331.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422023000016/
8-K,2023-05-04,2023-05-04,"2.02,9.01",0001804220-23-000015,https://www.sec.gov/Archives/edgar/data/872589/000180422023000015/regn-20230504.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422023000015/
8-K,2023-04-17,2023-04-14,5.02,0001104659-23-045897,https://www.sec.gov/Archives/edgar/data/872589/000110465923045897/tm2312956d1_8k.htm,https://www.sec.gov/Archives/edgar/data/872589/000110465923045897/
