company_name,pipeline_asset_count,marketed_asset_count,track_priority,notes
Pfizer,20,1,Yes - shortlist,"Tanezumab - anti-NGF, largest historical OA pain program (FDA rejected 2021); watch for any revival/partner-out"
Eli Lilly and Company,15,0,Yes - shortlist,"Retatrutide, orforglipron, eloralintide, LY4065967 - active Phase 2/3 GLP-1/amylin programs targeting OA via weight loss"
Novartis Pharmaceuticals,12,0,Yes - shortlist,"LNA043 - cartilage regeneration/structural DMOAD candidate, active"
"Pacira Pharmaceuticals, Inc",9,1,Yes - shortlist,Markets Zilretta (marketed) + PCRX-201 gene therapy in development - both marketed and pipeline exposure
Purdue Pharma LP,10,0,,
"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",9,0,Yes - shortlist,Multiple active Phase 3 OA programs
Boehringer Ingelheim,9,0,Yes - shortlist,Markets Mobic; active pipeline history
Merck Sharp & Dohme LLC,8,0,Yes - shortlist,"Active pipeline history, multiple trials"
GlaxoSmithKline,8,0,Yes - shortlist,"Active pipeline, multiple trials"
"PMG Pharm Co., Ltd",7,1,,
Sanofi,6,0,,
AstraZeneca,6,0,Yes - shortlist,"Active pipeline, multiple trials"
Organon and Co,6,0,Yes - shortlist,Legacy Merck OA compounds spun off; active Phase 3 trials
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,6,0,,
Shanghai AbelZeta Ltd.,5,0,,
Nordic Bioscience A/S,5,0,,
"Noven Pharmaceuticals, Inc.",5,0,,
Eurofarma Laboratorios S.A.,5,0,,
Ampio Pharmaceuticals. Inc.,5,0,,
"Yooyoung Pharmaceutical Co., Ltd.",5,0,,
"Genzyme, a Sanofi Company",5,0,,
POZEN,4,1,,
Addpharma Inc.,4,0,,
Grünenthal GmbH,4,0,Yes - shortlist,"Pain-focused specialty pharma, active OA programs"
PT. Prodia Stem Cell Indonesia,4,0,,
Medipost Co Ltd.,4,0,,
Amgen,4,0,,
TRB Chemedica,4,0,,
Taiwan Liposome Company,4,0,,
Laboratoires NEGMA,4,0,,
"Jiangsu HengRui Medicine Co., Ltd.",4,0,,
Ache Laboratorios Farmaceuticos S.A.,4,0,,
Centrexion Therapeutics,4,0,Yes - shortlist,CNTX-4975 (trans-capsaicin) - clinical-stage non-opioid OA pain candidate
"Daewon Pharmaceutical Co., Ltd.",4,0,,
Mallinckrodt,3,1,,
ZARS Pharma Inc.,4,0,,
Novo Nordisk A/S,3,0,Yes - shortlist,"NNC0487-0111 - active Phase 3, GLP-1-adjacent OA program"
Active Implants,3,0,,
Amzell,3,0,,
"ZetrOZ, Inc.",3,0,,
Chong Kun Dang Pharmaceutical,3,0,,
"Shandong Suncadia Medicine Co., Ltd.",3,0,,
Lipogems International spa,3,0,,
Nucitec,3,0,,
"Janssen Research & Development, LLC",3,0,,
Healeon Medical Inc,3,0,,
Kolon Life Science,3,0,,
Propella Therapeutics,3,0,,
"Tianjin XinChen-Techfields Pharma Co., LTD.",3,0,,
Regeneron Pharmaceuticals,3,0,Yes - shortlist,Fasinumab - anti-NGF (partnered historically w/ Teva/Mitsubishi Tanabe)
"SK Chemicals Co., Ltd.",2,1,,
Pure Green,3,0,,
"Cubist Pharmaceuticals LLC, a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",3,0,,
"Tris Pharma, Inc.",3,0,,
OliPass Australia Pty Ltd,3,0,,
Institute of Cell Therapy,3,0,,
"AbbVie (prior sponsor, Abbott)",3,0,,
Mundipharma Research GmbH & Co KG,3,0,,
"CDA Research Group, Inc.",3,0,,
Translational Biosciences,3,0,,
Dr. Reddy's Laboratories Limited,3,0,,
Novartis,3,0,Yes - shortlist,See Novartis Pharmaceuticals
"Apimeds, Inc.",3,0,,
Bioiberica,3,0,,
Menarini Group,3,0,,
"Janssen Korea, Ltd., Korea",3,0,,
Janssen Pharmaceutica,3,0,,
Janssen Pharmaceutical K.K.,3,0,,
Labopharm Inc.,3,0,,
Abbott,3,0,,
IDEA AG,3,0,,
Wyeth is now a wholly owned subsidiary of Pfizer,3,0,,
"Asclemed USA, Inc.",0,3,,
Mylan Pharmaceuticals Inc.,0,3,,
Pharmacia & Upjohn Company LLC,0,3,,
A-S Medication Solutions,0,3,,
"Kolon TissueGene, Inc.",2,0,Yes - shortlist,"TG-C (Invossa) - cell/gene therapy, notable regulatory history worth tracking"
"Medipost, Inc.",2,0,,
Nature Cell Co. Ltd.,2,0,,
R-Bio,2,0,,
"Jiangsu Aosaikang Pharmaceutical Co., Ltd.",2,0,,
4Moving Biotech,2,0,,
Saol Therapeutics Inc,2,0,,
DuoGenic StemCells Corporation (DGSC),2,0,,
Paradigm Biopharmaceuticals Ltd.,2,0,,
Paradigm Biopharmaceuticals USA (INC),2,0,,
Laboratorios Liomont,2,0,,
"Cellontech Co., Ltd.",2,0,,
Nova Vita Laboratory,2,0,,
Taisho Pharmaceutical Indonesia,2,0,,
"OrthoTrophix, Inc",2,0,,
LG Chem,2,0,,
Wuxi Cellular Biopharmaceutical Group Ltd.,2,0,,
"VivaTech International, Inc.",2,0,,
"Mather's Pharm. Co., Ltd.",2,0,,
ArthroBiologix Inc.,2,0,,
TBF Genie Tissulaire,2,0,,
Genascence Corporation,2,0,Yes - shortlist,"GNSC-001 - IL-1Ra gene therapy for knee OA, active Phase 1"
"CAR-T (Shanghai) Biotechnology Co., Ltd.",2,0,,
"Kunming Baker Norton Pharmaceutical Sales Co., Ltd.",2,0,,
Laboratorios Silanes S.A. de C.V.,2,0,,
"iN Therapeutics Co., Ltd.",2,0,,
ACADIA Pharmaceuticals Inc.,2,0,,
Sao Thai Duong Joint Stock Company,2,0,,
QC Kinetix LLC,2,0,,
"Daehwa Pharmaceutical Co., Ltd.",2,0,,
ZYUS Life Sciences Inc.,2,0,,
Rion Inc.,2,0,,
Ensol Bioscience,2,0,,
Shin Poong Pharmaceutical Co. Ltd.,2,0,,
"Anika Therapeutics, Inc.",2,0,,
Apsen Farmaceutica S.A.,2,0,,
"CrystalGenomics, Inc.",2,0,,
"Sorrento Therapeutics, Inc.",1,1,,
Antibe Therapeutics Inc.,2,0,,
Bioventus LLC,2,0,,
"Regenexx, LLC",2,0,,
Bone Therapeutics S.A,2,0,,
"Teva Branded Pharmaceutical Products R&D, Inc.",2,0,,
"Taisho Pharmaceutical Co., Ltd.",2,0,,
"Dong-A ST Co., Ltd.",2,0,,
"Merck KGaA, Darmstadt, Germany",2,0,,
"Sucampo Pharma Americas, LLC",2,0,,
"Hanlim Pharm. Co., Ltd.",2,0,,
"Afferent Pharmaceuticals, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",2,0,,
Yuhan Corporation,2,0,,
"Endo USA Inc., a Keenova Therapeutics Company",2,0,,
Napp Pharmaceuticals Limited,2,0,,
BioDelivery Sciences International,2,0,,
"Mesoblast, Ltd.",2,0,,
"Biosolution Co., Ltd.",2,0,,
"Huons Co., Ltd.",2,0,,
Allergan,2,0,,
Sandoz,2,0,,
