asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
Triamcinolone acetate,Triamcinolone Injection,"Brixton Biosciences, Inc.; Syntr Health Technologies, Inc.",2,NA,ACTIVE_NOT_RECRUITING; NOT_YET_RECRUITING,2024-11-19,2026-08-20,NCT05526898; NCT06700109
Hyaluronic Acid,Hyaluronic acid 1 x 5 ml; Hyaluronic acid 2 x 5 ml; Hyaluronic acid 5 x 2.5 ml; hyaluronic acid,"Red de Terapia Celular; Taiwan Bio Therapeutics Inc.; Tedec-Meiji Farma, S.A.",5,"PHASE1,PHASE2; PHASE2; PHASE4",COMPLETED,2010-11,2026-07-06,NCT01290497; NCT01290497; NCT01290497; NCT05027581; NCT01586312
celecoxib,Celecoxib; Celecoxib 100 MG; Celecoxib 100 mg; Celecoxib 200 mg; Celecoxib 200mg; Celecoxib capsule; Celecoxib capsules; Comparator: celecoxib,"Bayer; Bioiberica; Chong Kun Dang Pharmaceutical; CrystalGenomics, Inc.; Eli Lilly and Company; Endo USA Inc., a Keenova Therapeutics Company; IBSA Institut Biochimique SA; IDEA AG; Janssen Research & Development, LLC; Jiangsu XinChen-Techfields Pharma Co., LTD.; Laboratorios Silanes S.A. de C.V.; Mika Pharma GmbH; Organon and Co; Pfizer; Pfizer's Upjohn has merged with Mylan to form Viatris Inc.; Regeneron Pharmaceuticals; Shandong Suncadia Medicine Co., Ltd.; TRB Chemedica International SA; Yooyoung Pharmaceutical Co., Ltd.; Yuhan Corporation",39,PHASE1; PHASE2; PHASE3; PHASE4,COMPLETED; RECRUITING; TERMINATED,2002-10,2026-03-19,NCT03067194; NCT03067194; NCT01572675; NCT01554163; NCT02079727; NCT00092768; NCT02301234; NCT03850587; NCT00716547; NCT00638807; NCT00546832; NCT01765296; NCT03949673; NCT02192190; NCT00546507; NCT00643799; NCT03570554; NCT00373685; NCT00141102; NCT00484718; NCT00092781; NCT01341405; NCT00174317; NCT00139776; NCT00139776; NCT06863636; NCT00620867; NCT01354145; NCT02688400; NCT00163241; NCT00630929; NCT01425853; NCT00346216; NCT00904605; NCT07351968; NCT05324163; NCT00640627; NCT00359151; NCT02759198
Diclofenac,"1% Diclofenac Topical Gel; Comparator: Diclofenac sodium; Comparator: diclofenac 2x 75 mg; Comparator: diclofenac sodium / Duration of Treatment: 6 Weeks; Comparator: diclofenac sodium tablet 75 mg / Duration of Treatment:4 Weeks; Diclofenac Sodium 10 mg (Brand Name Hotin® DCL); Diclofenac Sodium Gel; Diclofenac Sodium Gel 1%; Diclofenac Sodium Topical Gel, 1%; Diclofenac Sodium gel, 1%; Diclofenac Topical; Diclofenac Topical Sodium Gel 1%; Diclofenac sodium gel 1%; Diclofenac topical sodium gel 1%; Diclofenac, topical; TDS-943 (topical diclofenac sodium 4% spray); diclofenac","Akorn, Inc.; Amneal Pharmaceuticals, LLC; Anchen Pharmaceuticals, Inc; Atrium Innovations; Boehringer Ingelheim; Glenmark Pharmaceuticals Ltd. India; Handok Inc.; Iroko Pharmaceuticals, LLC; Mallinckrodt; Merck Sharp & Dohme LLC; Mika Pharma GmbH; Mylan Pharmaceuticals Private Limited; Novartis; Nuvo Research Inc.; Organon and Co; Pfizer; Regeneron Pharmaceuticals; Taisho Pharmaceutical Indonesia; ZetrOZ, Inc.",34,"PHASE1,PHASE2; PHASE2; PHASE3; PHASE4",APPROVED_FOR_MARKETING; COMPLETED; TERMINATED,1999-04-01,2026-03-16,NCT07475663; NCT00426621; NCT00092703; NCT02183129; NCT00542087; NCT00250445; NCT00140972; NCT00546832; NCT02121002; NCT03949673; NCT05050448; NCT02088411; NCT00546507; NCT01461369; NCT01461369; NCT00171652; NCT01579890; NCT00171626; NCT02596451; NCT04421911; NCT00174317; NCT00171665; NCT01510912; NCT03172780; NCT02913521; NCT00108992; NCT00171678; NCT01456611; NCT00140920; NCT00171691; NCT00864097; NCT00864097; NCT00864097; NCT00864097
Triamcinolone Acetonide,,"Carbylan Therapeutics, Inc.; Pacira Pharmaceuticals, Inc",2,PHASE2; PHASE3,COMPLETED; TERMINATED,2014-01,2025-12-22,NCT06977568; NCT02022930
Chondroitin sulfate,Chondroitin Sulfate Sodium; chondroitin sulfate,Bioiberica; IBSA Institut Biochimique SA; Pierre Fabre Medicament,4,PHASE3,COMPLETED; WITHDRAWN,2011-06,2025-06-29,NCT02079727; NCT05632783; NCT01354145; NCT06623773
ibuprofen,Comparators: ibuprofen; Ibuprofen; Ibuprofen Tablet; ibuprofen 600 mg tid,"AFT Pharmaceuticals, Ltd.; Amgen; BioChemics, Inc.; Gebro Pharma GmbH; GlaxoSmithKline; Merck Sharp & Dohme LLC; NicOx; Organon and Co; Pfizer's Upjohn has merged with Mylan to form Viatris Inc.; Tianjin XinChen-Techfields Pharma Co., LTD.; Vedic Lifesciences Pvt. Ltd.",16,NA; PHASE1; PHASE2; PHASE3; PHASE4,COMPLETED; WITHDRAWN,2002-10,2024-12-17,NCT03691818; NCT00411190; NCT00450658; NCT00372801; NCT00613106; NCT00450216; NCT01066676; NCT00662896; NCT00092755; NCT01496326; NCT01420666; NCT00620867; NCT00630929; NCT00346216; NCT02417506; NCT00565084
Ibuprofen/famotidine,,Amgen,1,PHASE3,COMPLETED,2007-03,2024-12-16,NCT00450216
Naproxen,"Naproxen 500 mg bid; Naproxen 500 mg tablets (PN 200 minus omeprazole); Naproxen Sodium (Aleve, BAY117031); naproxen; naproxen 250 mg - 500mg -750 mg bid; naproxen 250 mg bid; naproxen 500 mg bid","AbbVie (prior sponsor, Abbott); Analgesic Solutions; Astellas Pharma Europe B.V.; Bayer; GlaxoSmithKline; Janssen Research & Development, LLC; Johnson & Johnson Consumer and Personal Products Worldwide; Merck Sharp & Dohme LLC; NicOx; Novartis Pharmaceuticals; POZEN; Pfizer; Pfizer's Upjohn has merged with Mylan to form Viatris Inc.; Primus Pharmaceuticals; Purdue Pharma LP; Regeneron Pharmaceuticals",40,EARLY_PHASE1; NA; PHASE1; PHASE2; PHASE3; PHASE4,COMPLETED; TERMINATED; UNKNOWN,2003-07,2024-10-31,NCT00435292; NCT01343303; NCT00928837; NCT00863304; NCT00418782; NCT01207115; NCT03949673; NCT00652808; NCT00541489; NCT00662610; NCT00643799; NCT01102660; NCT01102660; NCT02611466; NCT00504127; NCT03570554; NCT00542555; NCT03028870; NCT00662896; NCT00662896; NCT01147458; NCT01147458; NCT01160822; NCT00240773; NCT00240773; NCT00303017; NCT00743587; NCT00772967; NCT00790985; NCT00830063; NCT00346216; NCT00392080; NCT03161093; NCT00648258; NCT01231490; NCT00830050; NCT00367211; NCT01557816; NCT00981357; NCT00981357
Capsaicin,Capsaicin Topical Solution,Centrexion Therapeutics; Propella Therapeutics,2,PHASE1; PHASE4,COMPLETED,2016-07,2024-10-31,NCT03124407; NCT03472677
Meloxicam,Meloxicam Tablets; Meloxicam tablet,"Boehringer Ingelheim; Iroko Pharmaceuticals, LLC; Janssen Korea, Ltd., Korea; Pfizer; Zodiac Produtos Farmaceuticos S.A.",10,NA; PHASE2; PHASE3; PHASE4,COMPLETED; UNKNOWN; WITHDRAWN,1998-10,2023-11-24,NCT00239395; NCT02183129; NCT02183064; NCT02183116; NCT00635349; NCT02184052; NCT01430559; NCT02405793; NCT02448199; NCT02180516
Glucosamine sulfate 1500mg and chondroitin sulfate 1200mg,,Eurofarma Laboratorios S.A.,1,PHASE3,WITHDRAWN,2019-01,2022-04-18,NCT03936192
etoricoxib,Etoricoxib; Etoricoxib 30 mg; Etoricoxib 60 mg,BioElectronics Corporation; Organon and Co,5,NA; PHASE3; PHASE4,COMPLETED; WITHDRAWN,2006-06-30,2022-02-18,NCT01554163; NCT01685424; NCT01429168; NCT00757627; NCT03542955
Oxycodone,oxycodone,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.; Pfizer",5,PHASE1; PHASE2; PHASE3; PHASE4,COMPLETED; TERMINATED,2007-01,2021-05-14,NCT00421928; NCT00484718; NCT00743587; NCT00483977; NCT00985621
Tramadol 75mg+ Celecoxib 200mg,Tramadol 150mg+ Celecoxib 200mg; Tramadol 37.5Mg+ Celecoxib 200mg,"Yooyoung Pharmaceutical Co., Ltd.",3,PHASE2,COMPLETED,2018-08-30,2021-05-11,NCT03850587; NCT03850587; NCT03850587
pregabalin,,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,2,PHASE3,COMPLETED,2007-05,2021-01-22,NCT00442546; NCT00442546
Ketoprofen,Ketoprofen 10% Cream; Ketoprofen topical; ketoprofen Patch,"Dr. Reddy's Laboratories Limited; Handok Inc.; Hisamitsu Pharmaceutical Co., Inc.; IDEA AG; Imprimis Pharmaceuticals, Inc.",5,PHASE2; PHASE3; PHASE4,COMPLETED; WITHDRAWN,2005-07,2021-01-20,NCT02638831; NCT04421911; NCT00265304; NCT00792727; NCT01890902
Acetaminophen,Acetaminophen ER; acetaminophen; acetaminophen extended release,"AFT Pharmaceuticals, Ltd.; Bayer; GlaxoSmithKline; Johnson & Johnson Consumer and Personal Products Worldwide; Rottapharm",9,PHASE1; PHASE2; PHASE3,COMPLETED; WITHDRAWN,1999-10,2020-06-19,NCT00411190; NCT00240799; NCT00568295; NCT03570554; NCT00110474; NCT00240773; NCT00240773; NCT01420666; NCT00240786
Tapentadol,Tapentadol ER (100 to 250 mg twice daily); Tapentadol ER (CG5503); Tapentadol Hydrochloride; tapentadol (CG5503); tapentadol HCl,"Grünenthal GmbH; Janssen Pharmaceutical K.K.; Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",6,PHASE2; PHASE3,COMPLETED,2004-07,2019-10-21,NCT00421928; NCT00486811; NCT00745069; NCT00983073; NCT00784277; NCT01124604
Duloxetine,Duloxetine (DLX),Eli Lilly and Company,7,PHASE3,COMPLETED,2006-11,2019-09-26,NCT01018680; NCT00408421; NCT01931475; NCT02335346; NCT00433290; NCT02248480; NCT00945945
Tramadol,Tramadol HCl ER,"Bausch Health Americas, Inc.; Norpharma A/S; Pfizer",4,PHASE1; PHASE3; PHASE4,COMPLETED,2000-11,2018-12-04,NCT00348010; NCT00743587; NCT00426647; NCT00325858
Paracetamol,Paracetamol 500 mg; Paracetamol 665 mg,GlaxoSmithKline,3,PHASE4,COMPLETED; WITHDRAWN,2010-09-01,2017-06-21,NCT02262702; NCT02262702; NCT01105936
Glucosamine,Glucosamine sulfate,Rottapharm; Zodiac Produtos Farmaceuticos S.A.,2,PHASE3,COMPLETED; UNKNOWN,2000-05,2015-05-19,NCT00110474; NCT02448199
Meloxicam and Glucosamine,,Zodiac Produtos Farmaceuticos S.A.,1,PHASE3,UNKNOWN,2015-07,2015-05-19,NCT02448199
Prednisolone,,Zalicus,1,PHASE2,TERMINATED,2007-08,2014-04-29,NCT00521989
glucosamine sulfate /chondroitin sulfate - capsules,,Ache Laboratorios Farmaceuticos S.A.,1,PHASE3,COMPLETED,2009-02,2013-12-13,NCT02010918
Misoprostol,,"Korea Otsuka Pharmaceutical Co., Ltd.",1,PHASE3,COMPLETED,2007-12,2011-11-16,NCT00576706
Codeine paracetamol,Codeine/Paracetamol,Napp Pharmaceuticals Limited,2,PHASE4,COMPLETED,2006-03,2011-11-02,NCT00784810; NCT00324038
Chondroitin sulfate + Glucosamine sulfate,,Azidus Brasil,2,PHASE3,UNKNOWN,2011-11,2011-02-10,NCT01293305; NCT01293305
Celecoxib and aspirin,,Takeda,1,PHASE3,COMPLETED,2003-07,2010-07-22,NCT00175032
tramadol hydrochloride /acetaminophen,tramadol hydrochloride / acetaminophen,"Janssen Korea, Ltd., Korea",2,PHASE4,COMPLETED,2005-08,2010-02-05,NCT01063842; NCT01063842
