asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
Retatrutide,,Eli Lilly and Company,2,PHASE3,COMPLETED,2023-07-10,2026-08-21,NCT05931367; NCT05929066
Eloralintide,,Eli Lilly and Company,1,PHASE3,RECRUITING,2026-02-09,2026-08-21,NCT07353931
Orforglipron,,Eli Lilly and Company,1,PHASE3,RECRUITING,2025-09-15,2026-08-21,NCT07153471
LY4065967,,Eli Lilly and Company,1,PHASE2,RECRUITING,2026-06-25,2026-08-21,NCT07641517
TG-C,,"Kolon TissueGene, Inc.",3,PHASE2; PHASE3,ACTIVE_NOT_RECRUITING; COMPLETED; NOT_YET_RECRUITING,2018-10-30,2026-08-20,NCT05276011; NCT03203330; NCT03291470
NNC0487-0111,,Novo Nordisk A/S,2,PHASE3,RECRUITING,2026-04-13,2026-08-17,NCT07481630; NCT07509307
CX-011,,"CarthroniX, Inc.",1,"PHASE1,PHASE2",RECRUITING,2026-08-11,2026-08-13,NCT07308834
Enekinragene Inzadenovec (PCRX-201),,"Pacira Pharmaceuticals, Inc",1,PHASE2,RECRUITING,2025-02-26,2026-08-07,NCT06884865
Axolotl Ambient,,Axolotl Biologix,1,"PHASE1,PHASE2",TERMINATED,2021-12-01,2026-08-07,NCT05092646
CARTISTEM® + Debridement,,"Medipost, Inc.",1,PHASE3,RECRUITING,2026-03-11,2026-08-06,NCT07339111
JointStem,JOINTSTEM; Jointstem,Nature Cell Co. Ltd.; R-Bio,8,"NA; PHASE2; PHASE2,PHASE3; PHASE3",ACTIVE_NOT_RECRUITING; COMPLETED; NOT_YET_RECRUITING; UNKNOWN,2015-07,2026-08-03,NCT03990805; NCT03509025; NCT04825730; NCT04427930; NCT04368806; NCT04821102; NCT02658344; NCT02674399
1% ASKC200,5% ASKC200,"Jiangsu Aosaikang Pharmaceutical Co., Ltd.",4,PHASE1; PHASE2,ACTIVE_NOT_RECRUITING; NOT_YET_RECRUITING,2024-10,2026-08-03,NCT07742852; NCT07742852; NCT06614608; NCT06614608
1% Diclofenac Diethylamine Emulgel,,"Jiangsu Aosaikang Pharmaceutical Co., Ltd.",1,PHASE2,ACTIVE_NOT_RECRUITING,2025-09-12,2026-08-03,NCT07742852
Ecnoglutide Injection,,"Hangzhou Sciwind Biosciences Co., Ltd.",1,PHASE3,NOT_YET_RECRUITING,2026-07-31,2026-07-29,NCT07734311
NSAID's and Non-surgical Treatment Options,,Active Implants,2,NA,COMPLETED,2014-06,2026-07-28,NCT02136901; NCT02108496
Intra-Articular Injections with Corticosteroids,,Active Implants,2,NA,COMPLETED,2014-06,2026-07-28,NCT02136901; NCT02108496
Intra-Articular Injections with Hyaluronic Acid (HA),,Active Implants,2,NA,COMPLETED,2014-06,2026-07-28,NCT02136901; NCT02108496
Ibuprofen modified release tablet 800 mg,,"Overseas Pharmaceuticals, Ltd.",1,PHASE3,ACTIVE_NOT_RECRUITING,2021-12-10,2026-07-27,NCT05318521
4P004,,4Moving Biotech,1,PHASE2,ACTIVE_NOT_RECRUITING,2025-06-17,2026-07-27,NCT07225829
SL1002,,Saol Therapeutics Inc,1,PHASE3,RECRUITING,2025-11-07,2026-07-21,NCT07226258
Low-dose PCP-PBMCs injection,High-dose PCP-PBMCs injection,DuoGenic StemCells Corporation (DGSC),2,"PHASE2,PHASE3",NOT_YET_RECRUITING,2026-09-30,2026-07-20,NCT07703280; NCT07703280
Solu-Medrol,,DuoGenic StemCells Corporation (DGSC),1,"PHASE2,PHASE3",NOT_YET_RECRUITING,2026-09-30,2026-07-20,NCT07703280
